co.name,count(co)
"""Splenomegaly""",74
"""Hepatomegaly""",57
"""Short stature""",54
"""Thrombocytopenia""",54
"""Failure to thrive""",52
"""Growth delay""",50
"""Intellectual disability""",46
"""Seizure""",44
"""Diarrhea""",38
"""Global developmental delay""",36
"""Fever""",34
"""Elevated hepatic transaminase""",33
"""Ataxia""",31
"""Neutropenia""",31
"""Abnormal blistering of the skin""",30
"""Reticulocytosis""",29
"""Abdominal pain""",29
"""Intrauterine growth retardation""",29
"""Renal insufficiency""",28
"""Autoimmunity""",28
"""Pallor""",27
"""Microcephaly""",27
"""Recurrent infections""",26
"""Fatigue""",26
"""Recurrent respiratory infections""",26
"""Hypotonia""",26
"""Carious teeth""",26
"""Vomiting""",26
"""Muscle weakness""",25
"""Osteopenia""",25
"""Hepatosplenomegaly""",25
"""Lymphadenopathy""",23
"""Arthralgia""",23
"""Jaundice""",23
"""Proteinuria""",23
"""Leukopenia""",23
"""Skin rash""",22
"""Optic atrophy""",22
"""Delayed puberty""",22
"""Immunodeficiency""",22
"""Osteoporosis""",22
"""Abnormality of the nervous system""",22
"""Anemia""",22
"""Delayed skeletal maturation""",21
"""Abnormality of the dentition""",21
"""Feeding difficulties""",21
"""Hearing impairment""",21
"""Abnormal hemoglobin""",20
"""Nystagmus""",20
"""Edema""",20
"""Headache""",20
"""Cirrhosis""",19
"""Squamous cell carcinoma""",19
"""Increased mean corpuscular volume""",19
"""Pancytopenia""",19
"""Hypothyroidism""",19
"""Hemolytic anemia""",18
"""Sepsis""",18
"""Weight loss""",18
"""Congestive heart failure""",18
"""Cholelithiasis""",18
"""Myelodysplasia""",18
"""Malabsorption""",18
"""Strabismus""",17
"""Nail dystrophy""",17
"""Hepatitis""",17
"""Myalgia""",17
"""Hypertelorism""",17
"""Peripheral neuropathy""",17
"""Hydrops fetalis""",17
"""Scoliosis""",17
"""Respiratory insufficiency""",17
"""Osteomyelitis""",17
"""Behavioral abnormality""",17
"""Sensorineural hearing impairment""",16
"""Abnormal facial shape""",16
"""Ventriculomegaly""",16
"""Diabetes mellitus""",16
"""Delayed eruption of teeth""",16
"""Pneumonia""",16
"""Abnormal bleeding""",15
"""Basal cell carcinoma""",15
"""Alopecia""",15
"""Nausea and vomiting""",15
"""Stroke""",15
"""Cataract""",15
"""Hyperpigmentation of the skin""",15
"""Decreased circulating antibody level""",15
"""Increased circulating ferritin concentration""",15
"""Cryptorchidism""",14
"""Dilated cardiomyopathy""",14
"""Depressed nasal bridge""",14
"""Abnormality of the skeletal system""",14
"""Recurrent bacterial infections""",14
"""Visual impairment""",14
"""Cognitive impairment""",14
"""Arthritis""",14
"""Pulmonary arterial hypertension""",14
"""Dysarthria""",13
"""Avascular necrosis""",13
