co.name,count(co)
"""Seizure""",51
"""Hypotonia""",35
"""Intellectual disability""",29
"""Global developmental delay""",25
"""Hepatomegaly""",23
"""Short stature""",22
"""Scoliosis""",22
"""Congestive heart failure""",22
"""Muscle weakness""",22
"""Cardiomyopathy""",21
"""Elevated circulating creatine kinase concentration""",19
"""Myopathy""",18
"""Ataxia""",18
"""Feeding difficulties""",18
"""Optic atrophy""",17
"""Ptosis""",17
"""Dilated cardiomyopathy""",17
"""Infantile spasms""",17
"""Cataract""",17
"""Hearing impairment""",17
"""Microcephaly""",17
"""Myalgia""",17
"""Sensorineural hearing impairment""",16
"""Peripheral neuropathy""",16
"""Hypertrophic cardiomyopathy""",16
"""Visual impairment""",15
"""Fatigue""",15
"""Nystagmus""",14
"""Gait disturbance""",14
"""Gastroesophageal reflux""",14
"""Hypertelorism""",13
"""Elevated hepatic transaminase""",13
"""Diabetes mellitus""",13
"""Failure to thrive""",13
"""Hypoplasia of the corpus callosum""",13
"""Delayed speech and language development""",12
"""Abdominal pain""",12
"""Strabismus""",12
"""Constipation""",12
"""Dyspnea""",12
"""Growth delay""",12
"""Respiratory insufficiency""",12
"""Splenomegaly""",12
"""Behavioral abnormality""",12
"""Intellectual disability, severe""",11
"""Motor delay""",11
"""Lethargy""",11
"""Wide nasal bridge""",11
"""Pectus excavatum""",11
"""Ventriculomegaly""",11
"""Hypertension""",11
"""Cognitive impairment""",11
"""Cryptorchidism""",11
"""Skeletal muscle atrophy""",11
"""Depression""",11
"""Micrognathia""",11
"""Hyperreflexia""",10
"""Ichthyosis""",10
"""Atrioventricular block""",10
"""Sleep disturbance""",10
"""Irritability""",10
"""Ventricular septal defect""",10
"""Flexion contracture""",10
"""Dysphagia""",10
"""Hypertonia""",10
"""Sudden cardiac death""",10
"""Arthralgia""",10
"""Diarrhea""",9
"""Kyphosis""",9
"""Dysarthria""",9
"""Fever""",9
"""Bilateral tonic-clonic seizure""",9
"""Hyperlordosis""",9
"""Abnormal enzyme/coenzyme activity""",9
"""Spasticity""",9
"""EMG: myopathic abnormalities""",9
"""Reduced tendon reflexes""",9
"""Autistic behavior""",9
"""Feeding difficulties in infancy""",9
"""Increased serum lactate""",9
"""Joint stiffness""",9
"""Abnormal facial shape""",9
"""Renal insufficiency""",9
"""Inability to walk""",9
"""Hepatic failure""",9
"""Generalized hypotonia""",9
"""Dystonia""",8
"""Hyporeflexia""",8
"""Pallor""",8
"""Lipodystrophy""",8
"""Umbilical hernia""",8
"""Brachydactyly""",8
"""Hypothyroidism""",8
"""Developmental regression""",8
"""Hyperammonemia""",8
"""Poor head control""",8
"""Myoclonus""",8
"""Anemia""",8
"""Coma""",8
"""Poor eye contact""",8
