co.name,count(co)
"""Dysarthria""",228
"""Seizure""",217
"""Nystagmus""",205
"""Global developmental delay""",151
"""Hyperreflexia""",144
"""Intellectual disability""",127
"""Cerebellar atrophy""",127
"""Spasticity""",118
"""Babinski sign""",102
"""Optic atrophy""",98
"""Dystonia""",96
"""Gait disturbance""",96
"""Hypotonia""",92
"""Cognitive impairment""",89
"""Dysphagia""",88
"""Dysmetria""",88
"""Strabismus""",83
"""Pes cavus""",76
"""Abnormal pyramidal sign""",76
"""Delayed speech and language development""",76
"""Scoliosis""",76
"""Tremor""",76
"""Peripheral neuropathy""",74
"""Short stature""",74
"""Gait ataxia""",73
"""Intention tremor""",72
"""Hearing impairment""",72
"""Difficulty walking""",72
"""Behavioral abnormality""",71
"""Sensorineural hearing impairment""",69
"""Microcephaly""",68
"""Myoclonus""",67
"""Intellectual disability, mild""",67
"""Failure to thrive""",66
"""Cataract""",62
"""Hyporeflexia""",61
"""Dementia""",61
"""Progressive cerebellar ataxia""",61
"""Developmental regression""",59
"""Unsteady gait""",56
"""Ptosis""",55
"""Limb ataxia""",53
"""Hepatomegaly""",53
"""Generalized hypotonia""",53
"""Visual impairment""",52
"""Muscle weakness""",51
"""Ataxia""",50
"""Sensorimotor neuropathy""",49
"""Feeding difficulties""",49
"""Cerebral cortical atrophy""",48
"""Neurological speech impairment""",47
"""Truncal ataxia""",46
"""Motor delay""",46
"""Hypertonia""",45
"""Depression""",45
"""Skeletal muscle atrophy""",44
"""Areflexia""",43
"""Clumsiness""",43
"""Diplopia""",42
"""Cerebellar vermis atrophy""",41
"""Chorea""",41
"""Memory impairment""",41
"""Cerebral atrophy""",40
"""Dysdiadochokinesis""",39
"""Intellectual disability, moderate""",39
"""Lower limb spasticity""",39
"""Oculomotor apraxia""",39
"""Rigidity""",38
"""Sleep disturbance""",36
"""Ventriculomegaly""",36
"""Infantile muscular hypotonia""",36
"""Hypoplasia of the corpus callosum""",36
"""Abnormal facial shape""",35
"""Urinary incontinence""",35
"""Somatic sensory dysfunction""",34
"""Intellectual disability, severe""",34
"""Impaired proprioception""",34
"""Autistic behavior""",33
"""Growth delay""",33
"""Abnormality of extrapyramidal motor function""",33
"""Abnormality of movement""",33
"""Frequent falls""",32
"""Gaze-evoked nystagmus""",32
"""Inability to walk""",32
"""Spastic dysarthria""",32
"""Broad-based gait""",32
"""Peripheral axonal neuropathy""",31
"""Bilateral tonic-clonic seizure""",31
"""Kyphosis""",30
"""Ophthalmoplegia""",30
"""Generalized myoclonic seizure""",30
"""Upper motor neuron dysfunction""",30
"""Mental deterioration""",30
"""Cerebellar hypoplasia""",30
"""Horizontal nystagmus""",30
"""Elevated hepatic transaminase""",29
"""Saccadic smooth pursuit""",29
"""Distal amyotrophy""",29
"""Blindness""",29
"""Absent speech""",29
