Genetic_Cardiomyopathy_Comorbidity_Name,Number_of_Diseases
Seizure,66
Global developmental delay,56
Intellectual disability,53
Hepatomegaly,52
Hypotonia,49
Failure to thrive,46
Congestive heart failure,42
Scoliosis,38
Arrhythmia,38
Optic atrophy,37
Nystagmus,36
Ataxia,36
Myopathy,36
Muscle weakness,36
Elevated circulating creatine kinase concentration,35
Short stature,33
Elevated hepatic transaminase,32
Hearing impairment,32
Feeding difficulties,31
Sensorineural hearing impairment,29
Microcephaly,29
Strabismus,28
Ptosis,28
Cataract,28
Developmental regression,28
Peripheral neuropathy,28
Dysphagia,26
Splenomegaly,25
Myalgia,25
Growth delay,25
Visual impairment,24
Respiratory failure,24
Anemia,24
Cognitive impairment,22
EMG: myopathic abnormalities,22
Increased serum lactate,22
Spasticity,21
Skeletal muscle atrophy,21
Diabetes mellitus,21
Dysarthria,21
Dystonia,20
Motor delay,20
Lethargy,20
Hepatic steatosis,20
Gait disturbance,20
Respiratory distress,20
Hypertension,20
Intrauterine growth retardation,19
Difficulty walking,19
Lactic acidosis,18
Hypertelorism,18
Respiratory insufficiency,18
Abnormal facial shape,18
Fatigue,17
Hyperlordosis,17
Dyspnea,17
Generalized hypotonia,17
Wide nasal bridge,16
Hypertriglyceridemia,16
Hyperammonemia,16
Renal insufficiency,16
Infantile muscular hypotonia,16
Exercise intolerance,16
Myopia,16
Behavioral abnormality,16
Joint stiffness,15
Pectus excavatum,15
Hypoglycemia,15
Rimmed vacuoles,15
Ichthyosis,15
Coarse facial features,15
Proximal muscle weakness,15
Hydrocephalus,15
Kyphosis,15
Macroglossia,15
Vomiting,14
Abnormal enzyme/coenzyme activity,14
Sudden cardiac death,14
Flexion contracture,14
Scapular winging,14
Osteoporosis,14
Respiratory insufficiency due to muscle weakness,14
Hypothyroidism,14
Left ventricular hypertrophy,14
Hypertonia,14
Ventriculomegaly,14
Depression,14
Sleep disturbance,13
Cryptorchidism,13
Waddling gait,13
Abnormality of retinal pigmentation,13
Retinopathy,13
Macrotia,13
Delayed puberty,13
Anxiety,13
Hyporeflexia,13
Abnormal pyramidal sign,13
Atrial septal defect,13
Feeding difficulties in infancy,13
Delayed speech and language development,13
