co.name,count(co)
"""Seizure""",42
"""Short stature""",40
"""Intellectual disability""",36
"""Hepatomegaly""",35
"""Global developmental delay""",31
"""Hypothyroidism""",31
"""Ataxia""",30
"""Failure to thrive""",29
"""Delayed puberty""",29
"""Sensorineural hearing impairment""",27
"""Nystagmus""",26
"""Hypertension""",25
"""Cataract""",25
"""Scoliosis""",24
"""Hepatic steatosis""",24
"""Alopecia""",24
"""Hypertriglyceridemia""",23
"""Elevated hepatic transaminase""",22
"""Muscle weakness""",22
"""Microcephaly""",21
"""Dysarthria""",21
"""Growth delay""",20
"""Osteopenia""",20
"""Cryptorchidism""",20
"""Insulin resistance""",20
"""Acanthosis nigricans""",20
"""Intrauterine growth retardation""",19
"""Obesity""",19
"""Congestive heart failure""",18
"""Hyperinsulinemia""",18
"""Osteoporosis""",18
"""Depression""",18
"""Cognitive impairment""",18
"""Optic atrophy""",18
"""Splenomegaly""",18
"""Polycystic ovaries""",18
"""Strabismus""",17
"""Myalgia""",17
"""Gait disturbance""",17
"""Hypotonia""",17
"""Behavioral abnormality""",16
"""Feeding difficulties""",16
"""Hearing impairment""",16
"""Hypogonadism""",16
"""Hypertrophic cardiomyopathy""",16
"""Myopathy""",15
"""Renal insufficiency""",15
"""Delayed skeletal maturation""",14
"""Malabsorption""",14
"""Intellectual disability, mild""",14
"""Glaucoma""",14
"""Proteinuria""",13
"""Cirrhosis""",13
"""Pancreatitis""",13
"""Peripheral neuropathy""",13
"""Tremor""",13
"""Lipoatrophy""",13
"""Arrhythmia""",13
"""Micrognathia""",13
"""Polyphagia""",13
"""Decreased testicular size""",13
"""Fatigue""",13
"""Fever""",12
"""Spasticity""",12
"""Constipation""",12
"""Cardiomyopathy""",12
"""Hypergonadotropic hypogonadism""",12
"""Hepatosplenomegaly""",12
"""Polydipsia""",12
"""Visual impairment""",12
"""Hyperreflexia""",12
"""Lethargy""",12
"""Mandibular prognathia""",11
"""Abnormality of the dentition""",11
"""Primary amenorrhea""",11
"""Anxiety""",11
"""Ptosis""",11
"""Specific learning disability""",11
"""Abnormal facial shape""",11
"""Palpitations""",11
"""Abdominal pain""",11
"""Skeletal muscle atrophy""",11
"""Diarrhea""",11
"""Respiratory insufficiency""",11
"""Autoimmunity""",10
"""Arthralgia""",10
"""Dysphagia""",10
"""Tubulointerstitial nephritis""",10
"""Gynecomastia""",10
"""Decreased response to growth hormone stimulation test""",10
"""Weight loss""",10
"""Brachydactyly""",10
"""Hepatitis""",10
"""Corneal opacity""",10
"""Nausea and vomiting""",10
"""Thin skin""",10
"""Developmental regression""",10
"""Recurrent respiratory infections""",10
"""Autistic behavior""",10
"""Sleep disturbance""",10
