co.name,count(co)
"""Seizure""",221
"""Short stature""",216
"""Intellectual disability""",206
"""Global developmental delay""",167
"""Scoliosis""",162
"""Hypertelorism""",135
"""Strabismus""",134
"""Cataract""",129
"""Optic atrophy""",129
"""Microcephaly""",127
"""Ataxia""",127
"""Nystagmus""",124
"""Micrognathia""",121
"""Cleft palate""",111
"""Hypotonia""",110
"""Ptosis""",103
"""Cryptorchidism""",101
"""Visual impairment""",99
"""Abnormal facial shape""",92
"""Depressed nasal bridge""",83
"""Wide nasal bridge""",83
"""Failure to thrive""",82
"""Downslanted palpebral fissures""",80
"""Epicanthus""",78
"""Myopia""",72
"""Abnormality of the dentition""",69
"""High palate""",69
"""Macrocephaly""",69
"""Sensorineural hearing impairment""",68
"""Low-set ears""",66
"""Behavioral abnormality""",65
"""Growth delay""",65
"""Intrauterine growth retardation""",64
"""Conductive hearing impairment""",64
"""Brachydactyly""",64
"""Spasticity""",64
"""Dysarthria""",62
"""Delayed speech and language development""",61
"""Hepatomegaly""",61
"""Dysphagia""",60
"""Umbilical hernia""",60
"""Feeding difficulties""",59
"""Ventriculomegaly""",59
"""Peripheral neuropathy""",58
"""Hypospadias""",58
"""Coarse facial features""",58
"""Delayed skeletal maturation""",57
"""Kyphosis""",56
"""Developmental regression""",55
"""Intellectual disability, mild""",55
"""Gait disturbance""",55
"""Cognitive impairment""",54
"""Corneal opacity""",54
"""Motor delay""",54
"""Anteverted nares""",54
"""Inguinal hernia""",53
"""Long philtrum""",53
"""Clinodactyly of the 5th finger""",52
"""Glaucoma""",51
"""Hydrocephalus""",51
"""Intellectual disability, severe""",51
"""Ventricular septal defect""",50
"""Splenomegaly""",49
"""Delayed eruption of teeth""",49
"""Pectus excavatum""",49
"""Recurrent respiratory infections""",48
"""Muscle weakness""",48
"""Camptodactyly of finger""",47
"""Pes cavus""",47
"""Hydronephrosis""",47
"""Proptosis""",47
"""Feeding difficulties in infancy""",46
"""Patent ductus arteriosus""",46
"""Finger syndactyly""",46
"""Gastroesophageal reflux""",45
"""Hypertension""",45
"""Hyperreflexia""",44
"""Frontal bossing""",44
"""Intellectual disability, moderate""",43
"""Short nose""",43
"""Specific learning disability""",43
"""Hearing impairment""",42
"""Alopecia""",42
"""obsolete Malformation of the heart and great vessels""",42
"""Genu valgum""",41
"""Atrial septal defect""",41
"""Tremor""",41
"""Respiratory insufficiency""",41
"""Hypoplasia of the corpus callosum""",41
"""Telecanthus""",41
"""Carious teeth""",40
"""Craniosynostosis""",40
"""Midface retrusion""",40
"""Narrow mouth""",40
"""Brachycephaly""",40
"""Skeletal muscle atrophy""",39
"""Short neck""",39
"""Joint hyperflexibility""",39
"""Abnormal form of the vertebral bodies""",39
"""Skeletal dysplasia""",38
