co.name,count(co)
"""Seizure""",342
"""Global developmental delay""",288
"""Intellectual disability""",239
"""Microcephaly""",182
"""Scoliosis""",176
"""Strabismus""",154
"""Short stature""",152
"""Ataxia""",151
"""Failure to thrive""",146
"""Feeding difficulties""",142
"""Nystagmus""",130
"""Hypertelorism""",119
"""Abnormal facial shape""",117
"""Delayed speech and language development""",114
"""Optic atrophy""",107
"""Spasticity""",106
"""Cryptorchidism""",104
"""Hypoplasia of the corpus callosum""",101
"""Intellectual disability, severe""",101
"""Motor delay""",100
"""Micrognathia""",97
"""Ventriculomegaly""",91
"""Hearing impairment""",91
"""Hepatomegaly""",90
"""Ptosis""",88
"""High palate""",87
"""Low-set ears""",83
"""Epicanthus""",80
"""Intrauterine growth retardation""",79
"""Developmental regression""",78
"""Behavioral abnormality""",77
"""Dysarthria""",76
"""Gastroesophageal reflux""",76
"""Autistic behavior""",74
"""Feeding difficulties in infancy""",74
"""Dystonia""",74
"""Gait disturbance""",73
"""Anteverted nares""",73
"""Wide nasal bridge""",73
"""Sensorineural hearing impairment""",72
"""Cataract""",71
"""Hyperreflexia""",70
"""Downslanted palpebral fissures""",70
"""Intellectual disability, moderate""",68
"""Depressed nasal bridge""",66
"""Kyphosis""",66
"""Skeletal muscle atrophy""",65
"""Absent speech""",64
"""Intellectual disability, mild""",64
"""Long philtrum""",63
"""Macrocephaly""",63
"""Pectus excavatum""",62
"""Visual impairment""",61
"""Sleep disturbance""",61
"""Growth delay""",61
"""Respiratory insufficiency""",60
"""Frontal bossing""",60
"""Hypertonia""",59
"""EEG abnormality""",59
"""Cognitive impairment""",58
"""Dysphagia""",57
"""Myopia""",56
"""Ventricular septal defect""",56
"""Muscle weakness""",55
"""Elevated hepatic transaminase""",55
"""Pes planus""",54
"""Hyporeflexia""",53
"""Long face""",52
"""Cerebellar atrophy""",52
"""Macrotia""",52
"""Difficulty walking""",52
"""Recurrent respiratory infections""",52
"""Inguinal hernia""",50
"""Cleft palate""",50
"""Short neck""",50
"""Tremor""",50
"""Poor speech""",50
"""Atrial septal defect""",49
"""Coarse facial features""",49
"""Low-set, posteriorly rotated ears""",49
"""Areflexia""",48
"""Respiratory distress""",48
"""Inability to walk""",48
"""Neurological speech impairment""",48
"""Cerebellar hypoplasia""",48
"""Short nose""",48
"""Hydrocephalus""",47
"""Bilateral tonic-clonic seizure""",47
"""Constipation""",47
"""Myoclonus""",46
"""Hypospadias""",45
"""Upslanted palpebral fissure""",45
"""Cerebral cortical atrophy""",45
"""Agenesis of corpus callosum""",44
"""Peripheral neuropathy""",44
"""Thin upper lip vermilion""",44
"""Flexion contracture""",43
"""Polyhydramnios""",43
"""Lethargy""",43
"""Vomiting""",42
