co.name,count(co)
"""Seizure""",462
"""Global developmental delay""",395
"""Microcephaly""",322
"""Short stature""",310
"""Hypotonia""",251
"""Strabismus""",237
"""Scoliosis""",232
"""Cryptorchidism""",198
"""Hypertelorism""",192
"""Ataxia""",180
"""Nystagmus""",172
"""Abnormal facial shape""",171
"""Delayed speech and language development""",162
"""Spasticity""",156
"""Micrognathia""",148
"""Hearing impairment""",146
"""Failure to thrive""",143
"""Cataract""",133
"""Hypoplasia of the corpus callosum""",130
"""Behavioral abnormality""",129
"""Autistic behavior""",126
"""Ventriculomegaly""",126
"""Optic atrophy""",126
"""Epicanthus""",124
"""Feeding difficulties""",122
"""Sensorineural hearing impairment""",121
"""Low-set ears""",119
"""Wide nasal bridge""",118
"""Downslanted palpebral fissures""",114
"""High palate""",112
"""Intrauterine growth retardation""",108
"""Cleft palate""",105
"""Macrocephaly""",104
"""Ptosis""",102
"""Depressed nasal bridge""",100
"""Gait disturbance""",100
"""Specific learning disability""",100
"""Intellectual disability, moderate""",99
"""Dysarthria""",99
"""Hyperreflexia""",99
"""Long philtrum""",98
"""Anteverted nares""",97
"""Intellectual disability, severe""",94
"""Macrotia""",91
"""Hypospadias""",91
"""Growth delay""",89
"""Motor delay""",88
"""Long face""",87
"""Intellectual disability, mild""",86
"""Aggressive behavior""",85
"""Brachydactyly""",85
"""Poor speech""",85
"""Short neck""",84
"""Pectus excavatum""",83
"""Kyphosis""",82
"""Coarse facial features""",82
"""Infantile muscular hypotonia""",81
"""Sleep disturbance""",80
"""Clinodactyly of the 5th finger""",80
"""Hepatomegaly""",80
"""Obesity""",78
"""Gastroesophageal reflux""",78
"""Atrial septal defect""",78
"""Visual impairment""",78
"""Myopia""",78
"""Short philtrum""",77
"""Mandibular prognathia""",76
"""Ventricular septal defect""",76
"""Delayed skeletal maturation""",76
"""Absent speech""",76
"""EEG abnormality""",75
"""Feeding difficulties in infancy""",75
"""Upslanted palpebral fissure""",74
"""Short nose""",74
"""Abnormality of the dentition""",73
"""Dystonia""",73
"""Frontal bossing""",71
"""Hydrocephalus""",71
"""Brachycephaly""",71
"""Recurrent respiratory infections""",69
"""Attention deficit hyperactivity disorder""",69
"""Cerebral cortical atrophy""",68
"""Developmental regression""",68
"""Inguinal hernia""",68
"""Cerebellar atrophy""",67
"""Hypertonia""",67
"""Low-set, posteriorly rotated ears""",66
"""Deeply set eye""",66
"""Pes planus""",65
"""Agenesis of corpus callosum""",64
"""Hyperactivity""",64
"""Patent ductus arteriosus""",63
"""Thin upper lip vermilion""",62
"""Bilateral tonic-clonic seizure""",62
"""Tremor""",60
"""Prominent nasal bridge""",60
"""Generalized hypotonia""",60
"""High forehead""",59
"""Hydronephrosis""",57
"""Dysphagia""",57
