co.name,count(co)
"""Strabismus""",56
"""Seizure""",53
"""Cataract""",47
"""Global developmental delay""",47
"""Short stature""",46
"""Hypertelorism""",45
"""Scoliosis""",45
"""Intellectual disability""",40
"""Nystagmus""",40
"""Hypotonia""",36
"""Micrognathia""",35
"""Visual impairment""",32
"""Anteverted nares""",32
"""Long philtrum""",31
"""Cryptorchidism""",31
"""Microcephaly""",31
"""Sensorineural hearing impairment""",30
"""Hearing impairment""",30
"""Optic atrophy""",29
"""Epicanthus""",28
"""Cleft palate""",28
"""Depressed nasal bridge""",26
"""High palate""",25
"""Retinal detachment""",25
"""Pectus excavatum""",25
"""Downslanted palpebral fissures""",24
"""Ataxia""",24
"""Wide nasal bridge""",23
"""Low-set ears""",23
"""Pes planus""",22
"""Kyphosis""",22
"""Glaucoma""",21
"""Umbilical hernia""",21
"""Delayed speech and language development""",20
"""Astigmatism""",20
"""Inguinal hernia""",20
"""Genu valgum""",19
"""Failure to thrive""",18
"""Osteoporosis""",18
"""Gastroesophageal reflux""",18
"""Joint hyperflexibility""",18
"""Feeding difficulties""",18
"""Short nose""",18
"""Spasticity""",18
"""Abnormal facial shape""",18
"""Clinodactyly of the 5th finger""",17
"""Ventricular septal defect""",17
"""Intellectual disability, severe""",17
"""Brachydactyly""",17
"""Intrauterine growth retardation""",16
"""Platyspondyly""",16
"""Upslanted palpebral fissure""",16
"""Ventriculomegaly""",16
"""Brachycephaly""",16
"""Abnormality of retinal pigmentation""",16
"""Ptosis""",16
"""Hyperextensible skin""",16
"""Hypermetropia""",15
"""Cerebellar hypoplasia""",15
"""Kyphoscoliosis""",15
"""Proptosis""",15
"""Low-set, posteriorly rotated ears""",15
"""Osteopenia""",15
"""Frontal bossing""",15
"""Abnormality of the dentition""",15
"""EEG abnormality""",15
"""Coarse facial features""",14
"""Hydrocephalus""",14
"""Macrocephaly""",14
"""Infantile muscular hypotonia""",14
"""Delayed skeletal maturation""",14
"""Malar flattening""",14
"""Joint stiffness""",14
"""Macrotia""",14
"""Intellectual disability, moderate""",13
"""Telecanthus""",13
"""Short neck""",13
"""Motor delay""",13
"""Mandibular prognathia""",13
"""Growth delay""",13
"""Gait disturbance""",13
"""Short philtrum""",13
"""Thin upper lip vermilion""",13
"""Arachnodactyly""",13
"""Patent ductus arteriosus""",12
"""Dandy-Walker malformation""",12
"""Midface retrusion""",12
"""Blue sclerae""",12
"""Hip dysplasia""",12
"""Deeply set eye""",12
"""Cerebral cortical atrophy""",12
"""Joint hypermobility""",12
"""Mitral valve prolapse""",12
"""Wide mouth""",12
"""Corneal opacity""",12
"""Abnormality of the eye""",12
"""Prominent nasal bridge""",11
"""Pectus carinatum""",11
"""Visual loss""",11
"""Renal insufficiency""",11
