Genetic_Obesity_Comorbidity_Name,Number_of_Diseases
Intellectual disability,40
Short stature,40
Seizure,37
Global developmental delay,26
Cryptorchidism,25
Hypotonia,24
Nystagmus,23
Scoliosis,23
Strabismus,22
Microcephaly,20
"Intellectual disability, moderate",19
Polyphagia,18
"Intellectual disability, severe",16
"Intellectual disability, mild",16
Delayed skeletal maturation,16
Hypertriglyceridemia,16
Behavioral abnormality,15
Abnormal facial shape,15
Sensorineural hearing impairment,15
Delayed speech and language development,14
Hypertelorism,14
Hyperinsulinemia,14
Cataract,14
Delayed puberty,14
Brachydactyly,13
Micrognathia,13
Hypertension,13
Deeply set eye,13
Short neck,13
Gynecomastia,13
Kyphosis,13
Decreased testicular size,13
Hypoplasia of penis,13
Decreased response to growth hormone stimulation test,13
Autistic behavior,12
Downslanted palpebral fissures,12
Growth delay,12
Acanthosis nigricans,12
Gait disturbance,11
Ataxia,11
Macrocephaly,11
Ptosis,11
Diabetes mellitus,11
Specific learning disability,10
Downturned corners of mouth,10
Type II diabetes mellitus,10
Hypogonadism,10
Sleep disturbance,10
Round face,10
Failure to thrive,10
Autism,9
Coarse facial features,9
Long philtrum,9
Ventriculomegaly,9
Clinodactyly of the 5th finger,9
Gastroesophageal reflux,9
Depressed nasal bridge,9
Thin upper lip vermilion,9
Tapered finger,9
Precocious puberty,9
Epicanthus,9
Short philtrum,9
Pectus excavatum,9
Anteverted nares,9
Hypergonadotropic hypogonadism,9
Aggressive behavior,9
Hypoplasia of the corpus callosum,9
Pes planus,9
Intrauterine growth retardation,8
Hearing impairment,8
Malar flattening,8
High palate,8
Hypopigmentation of the skin,8
Small for gestational age,8
Elevated hepatic transaminase,8
Hepatic steatosis,8
Synophrys,8
Myopia,8
Feeding difficulties in infancy,8
Osteoporosis,8
Attention deficit hyperactivity disorder,8
Visual impairment,8
Short toe,8
Hyperactivity,8
Genu valgum,8
Hepatomegaly,8
Micropenis,8
Wide nasal bridge,8
Broad nasal tip,7
External genital hypoplasia,7
Small hand,7
Mandibular prognathia,7
Recurrent respiratory infections,7
Pituitary hypothyroidism,7
Hypercholesterolemia,7
Infantile muscular hypotonia,7
Joint stiffness,7
Feeding difficulties,7
Everted lower lip vermilion,7
Central adrenal insufficiency,7
