co.name,count(co)
"""Intellectual disability""",58
"""Hypertelorism""",49
"""Global developmental delay""",46
"""Cleft palate""",44
"""Seizure""",40
"""Hypotonia""",39
"""Finger syndactyly""",39
"""Cryptorchidism""",38
"""Strabismus""",37
"""Short stature""",37
"""Micrognathia""",37
"""Toe syndactyly""",32
"""Scoliosis""",32
"""Hydrocephalus""",30
"""Low-set, posteriorly rotated ears""",28
"""Brachydactyly""",27
"""Microcephaly""",26
"""obsolete Malformation of the heart and great vessels""",26
"""Low-set ears""",25
"""Cataract""",25
"""Failure to thrive""",25
"""Clinodactyly of the 5th finger""",24
"""Postaxial hand polydactyly""",24
"""Ventricular septal defect""",24
"""Nystagmus""",23
"""Ptosis""",23
"""Wide nasal bridge""",22
"""Frontal bossing""",22
"""High palate""",22
"""Downslanted palpebral fissures""",21
"""Anteverted nares""",21
"""Hypospadias""",21
"""Conductive hearing impairment""",20
"""Aplasia/Hypoplasia of the corpus callosum""",20
"""Camptodactyly of finger""",20
"""Intrauterine growth retardation""",20
"""Aganglionic megacolon""",19
"""Epicanthus""",19
"""Feeding difficulties in infancy""",19
"""Depressed nasal bridge""",19
"""Ataxia""",18
"""Patent ductus arteriosus""",18
"""Hearing impairment""",18
"""Agenesis of corpus callosum""",18
"""Upslanted palpebral fissure""",18
"""Iris coloboma""",18
"""Hypoplasia of penis""",17
"""Apnea""",17
"""Abnormality of the metacarpal bones""",17
"""Postaxial foot polydactyly""",17
"""Depressed nasal ridge""",17
"""Long philtrum""",17
"""Prominent nasal bridge""",17
"""Long face""",16
"""Microphthalmia""",16
"""Biparietal narrowing""",16
"""Umbilical hernia""",16
"""Cerebellar vermis hypoplasia""",16
"""Abnormal oral frenulum morphology""",16
"""Renal hypoplasia/aplasia""",16
"""Dandy-Walker malformation""",16
"""Hand polydactyly""",16
"""Gait disturbance""",15
"""Oral cleft""",15
"""Atrial septal defect""",15
"""Anal atresia""",15
"""Multicystic kidney dysplasia""",15
"""Encephalocele""",15
"""Telecanthus""",15
"""Optic atrophy""",15
"""Highly arched eyebrow""",14
"""Broad thumb""",14
"""Triphalangeal thumb""",13
"""Short nose""",13
"""Myopia""",13
"""Preaxial hand polydactyly""",13
"""Hydronephrosis""",13
"""Limitation of joint mobility""",13
"""Growth delay""",13
"""Abnormality of neuronal migration""",12
"""Macrocephaly""",12
"""Short neck""",12
"""Molar tooth sign on MRI""",12
"""Tetralogy of Fallot""",12
"""Preaxial foot polydactyly""",12
"""Feeding difficulties""",12
"""Micromelia""",12
"""Sensorineural hearing impairment""",11
"""Foot polydactyly""",11
"""Abnormality of the dentition""",11
"""Bifid tongue""",11
"""Tremor""",11
"""Inguinal hernia""",11
"""Hamartoma of tongue""",11
"""Bowing of the long bones""",11
"""Obesity""",10
"""Abnormal form of the vertebral bodies""",10
"""Talipes""",10
"""Ventriculomegaly""",10
"""Short foot""",10
