co.name,count(co)
"""Seizure""",148
"""Intellectual disability""",146
"""Short stature""",144
"""Strabismus""",128
"""Global developmental delay""",124
"""Hypotonia""",119
"""Hypertelorism""",108
"""Micrognathia""",106
"""Microcephaly""",99
"""Kyphosis""",97
"""Cryptorchidism""",91
"""High palate""",89
"""Pectus excavatum""",81
"""Hearing impairment""",79
"""Nystagmus""",77
"""Ptosis""",72
"""Cataract""",72
"""Cleft palate""",72
"""Brachydactyly""",68
"""Epicanthus""",68
"""Downslanted palpebral fissures""",67
"""Low-set ears""",67
"""Abnormal facial shape""",63
"""Myopia""",62
"""Anteverted nares""",61
"""Long philtrum""",60
"""Gait disturbance""",60
"""Motor delay""",60
"""Ataxia""",59
"""Pes planus""",59
"""Failure to thrive""",58
"""Sensorineural hearing impairment""",58
"""Inguinal hernia""",57
"""Depressed nasal bridge""",55
"""Intrauterine growth retardation""",55
"""Frontal bossing""",53
"""Short neck""",53
"""Pes cavus""",53
"""Optic atrophy""",51
"""Wide nasal bridge""",51
"""Camptodactyly of finger""",51
"""Feeding difficulties""",51
"""Delayed speech and language development""",49
"""Macrocephaly""",48
"""Ventriculomegaly""",48
"""Joint hyperflexibility""",48
"""Hyperlordosis""",47
"""Gastroesophageal reflux""",47
"""Short nose""",46
"""Genu valgum""",46
"""Skeletal muscle atrophy""",45
"""Joint stiffness""",45
"""Abnormality of the dentition""",45
"""Hypoplasia of the corpus callosum""",45
"""Talipes equinovarus""",45
"""Hip dislocation""",44
"""Intellectual disability, severe""",43
"""Clinodactyly of the 5th finger""",43
"""Intellectual disability, moderate""",43
"""Umbilical hernia""",43
"""Long face""",42
"""Osteopenia""",42
"""Coarse facial features""",41
"""Dysarthria""",41
"""Pectus carinatum""",41
"""Hip dysplasia""",41
"""Spasticity""",41
"""Autistic behavior""",40
"""Ventricular septal defect""",40
"""Hydronephrosis""",40
"""Low-set, posteriorly rotated ears""",40
"""Intellectual disability, mild""",39
"""Hypospadias""",39
"""Mandibular prognathia""",39
"""Platyspondyly""",39
"""Macrotia""",39
"""Upslanted palpebral fissure""",38
"""Difficulty walking""",38
"""Short philtrum""",38
"""Feeding difficulties in infancy""",38
"""Patent ductus arteriosus""",38
"""Atrial septal defect""",38
"""Hydrocephalus""",38
"""Joint laxity""",37
"""Delayed skeletal maturation""",37
"""Proptosis""",37
"""Flexion contracture""",37
"""Growth delay""",36
"""Muscle weakness""",36
"""Recurrent respiratory infections""",36
"""Specific learning disability""",36
"""Behavioral abnormality""",36
"""Visual impairment""",36
"""Arachnodactyly""",36
"""Areflexia""",35
"""Abnormal form of the vertebral bodies""",35
"""Glaucoma""",34
"""Sleep disturbance""",34
"""Midface retrusion""",34
"""Respiratory insufficiency""",34
