co.name,count(co)
"""Intellectual disability""",373
"""Global developmental delay""",365
"""Hypotonia""",270
"""Microcephaly""",259
"""Ataxia""",248
"""Spasticity""",203
"""Strabismus""",196
"""Scoliosis""",193
"""Behavioral abnormality""",193
"""Short stature""",191
"""Feeding difficulties""",175
"""Nystagmus""",170
"""Autistic behavior""",162
"""Seizure""",160
"""Optic atrophy""",157
"""Delayed speech and language development""",155
"""Hypoplasia of the corpus callosum""",153
"""Failure to thrive""",152
"""Intellectual disability, severe""",152
"""Developmental regression""",152
"""Abnormal facial shape""",150
"""Bilateral tonic-clonic seizure""",148
"""Ventriculomegaly""",138
"""Hypertelorism""",132
"""Hearing impairment""",129
"""Dysarthria""",124
"""Dystonia""",123
"""Myoclonus""",122
"""Generalized myoclonic seizure""",121
"""Cerebellar atrophy""",121
"""Cryptorchidism""",119
"""Gait disturbance""",119
"""Sleep disturbance""",118
"""Anxiety""",115
"""Intellectual disability, moderate""",114
"""Sensorineural hearing impairment""",111
"""Hepatomegaly""",111
"""Hyperreflexia""",110
"""Status epilepticus""",110
"""Focal-onset seizure""",109
"""Cognitive impairment""",109
"""Gastroesophageal reflux""",107
"""Infantile muscular hypotonia""",105
"""Aggressive behavior""",101
"""Cataract""",100
"""Inability to walk""",99
"""Tremor""",98
"""Absent speech""",97
"""Dysphagia""",97
"""EEG abnormality""",97
"""Intellectual disability, mild""",96
"""Micrognathia""",95
"""Hypertonia""",95
"""Focal impaired awareness seizure""",93
"""Depression""",92
"""Cerebral atrophy""",89
"""Intrauterine growth retardation""",87
"""Low-set ears""",87
"""Visual impairment""",85
"""Wide nasal bridge""",83
"""Epicanthus""",83
"""Growth delay""",83
"""Attention deficit hyperactivity disorder""",83
"""Myopia""",81
"""Macrocephaly""",80
"""Poor speech""",79
"""Downslanted palpebral fissures""",79
"""High palate""",77
"""Cerebral cortical atrophy""",75
"""Pes planus""",75
"""Specific learning disability""",75
"""Generalized non-motor (absence) seizure""",74
"""Depressed nasal bridge""",74
"""Ptosis""",73
"""Elevated hepatic transaminase""",70
"""Severe global developmental delay""",69
"""Mental deterioration""",69
"""Neurological speech impairment""",69
"""Stereotypy""",68
"""Generalized hypotonia""",68
"""Hyperactivity""",68
"""Kyphosis""",68
"""Anteverted nares""",67
"""Peripheral neuropathy""",67
"""Motor delay""",66
"""Long philtrum""",65
"""Atrial septal defect""",65
"""Recurrent respiratory infections""",65
"""Muscle weakness""",65
"""Dementia""",64
"""Hydrocephalus""",63
"""Irritability""",63
"""Feeding difficulties in infancy""",63
"""Atonic seizure""",63
"""Abnormal enzyme/coenzyme activity""",62
"""Abnormality of movement""",62
"""Chorea""",61
"""Coarse facial features""",61
"""Hypsarrhythmia""",61
"""Gastrostomy tube feeding in infancy""",61
