co.name,count(co)
"""Intellectual disability""",207
"""Microcephaly""",178
"""Global developmental delay""",170
"""Seizure""",163
"""Scoliosis""",161
"""Micrognathia""",137
"""Hypertelorism""",129
"""Cryptorchidism""",122
"""Strabismus""",119
"""Brachydactyly""",110
"""Cataract""",107
"""Intrauterine growth retardation""",106
"""Hypotonia""",99
"""Cleft palate""",98
"""Hearing impairment""",93
"""Delayed skeletal maturation""",90
"""Failure to thrive""",89
"""Sensorineural hearing impairment""",87
"""Depressed nasal bridge""",87
"""Nystagmus""",87
"""Short neck""",86
"""Anteverted nares""",82
"""Epicanthus""",81
"""High palate""",80
"""Wide nasal bridge""",79
"""Growth delay""",77
"""Low-set ears""",76
"""Clinodactyly of the 5th finger""",75
"""Frontal bossing""",72
"""Abnormality of the dentition""",71
"""Long philtrum""",70
"""Macrocephaly""",69
"""Downslanted palpebral fissures""",66
"""Intellectual disability, mild""",65
"""Ptosis""",63
"""Short nose""",63
"""Platyspondyly""",62
"""Optic atrophy""",61
"""Kyphosis""",61
"""Ventriculomegaly""",60
"""Pectus excavatum""",60
"""Camptodactyly of finger""",59
"""Joint stiffness""",58
"""Low-set, posteriorly rotated ears""",58
"""Joint hyperflexibility""",58
"""Ataxia""",58
"""Abnormal facial shape""",58
"""Micromelia""",57
"""Hypospadias""",57
"""Inguinal hernia""",56
"""Spasticity""",55
"""Genu valgum""",54
"""Intellectual disability, severe""",53
"""Ventricular septal defect""",51
"""Myopia""",51
"""Specific learning disability""",50
"""Proptosis""",50
"""Umbilical hernia""",49
"""Visual impairment""",49
"""Abnormality of the metaphysis""",49
"""Abnormality of epiphysis morphology""",47
"""Delayed speech and language development""",47
"""Recurrent respiratory infections""",46
"""Feeding difficulties in infancy""",45
"""Hydronephrosis""",45
"""Atrial septal defect""",45
"""Abnormal form of the vertebral bodies""",45
"""Limitation of joint mobility""",44
"""Delayed eruption of teeth""",44
"""Upslanted palpebral fissure""",43
"""Conductive hearing impairment""",43
"""Coarse facial features""",43
"""Corneal opacity""",43
"""Midface retrusion""",41
"""obsolete Malformation of the heart and great vessels""",41
"""Brachycephaly""",41
"""Malar flattening""",41
"""Narrow mouth""",41
"""Coxa vara""",39
"""Hydrocephalus""",39
"""Hypoplasia of the corpus callosum""",39
"""Macrotia""",39
"""Feeding difficulties""",38
"""Glaucoma""",38
"""Intellectual disability, moderate""",38
"""Delayed puberty""",38
"""Finger syndactyly""",37
"""Osteopenia""",37
"""Skeletal muscle atrophy""",37
"""Behavioral abnormality""",37
"""Hip dysplasia""",37
"""Flat face""",37
"""Short distal phalanx of finger""",37
"""Hepatomegaly""",36
"""Cognitive impairment""",36
"""Short palm""",36
"""Talipes equinovarus""",36
"""Obesity""",36
"""Cerebral cortical atrophy""",36
"""Prominent nasal bridge""",36
