co.name,count(co)
"""Seizure""",137
"""Global developmental delay""",119
"""Intellectual disability""",111
"""Scoliosis""",106
"""Nystagmus""",99
"""Short stature""",91
"""Microcephaly""",87
"""Hypotonia""",85
"""Hypertelorism""",78
"""Cryptorchidism""",71
"""Epicanthus""",67
"""Cataract""",62
"""Micrognathia""",62
"""Ptosis""",60
"""Hearing impairment""",58
"""Downslanted palpebral fissures""",56
"""Ataxia""",53
"""Myopia""",53
"""Anteverted nares""",51
"""Optic atrophy""",51
"""Abnormal facial shape""",50
"""Long philtrum""",48
"""Failure to thrive""",48
"""High palate""",46
"""Wide nasal bridge""",45
"""Depressed nasal bridge""",45
"""Low-set ears""",43
"""Cleft palate""",43
"""Visual impairment""",43
"""Sensorineural hearing impairment""",43
"""Feeding difficulties""",42
"""Ventriculomegaly""",42
"""Frontal bossing""",41
"""Intellectual disability, severe""",41
"""Spasticity""",40
"""Intrauterine growth retardation""",40
"""Delayed speech and language development""",38
"""Intellectual disability, mild""",37
"""Inguinal hernia""",37
"""Hypoplasia of the corpus callosum""",37
"""Gait disturbance""",37
"""Long face""",36
"""Upslanted palpebral fissure""",36
"""Brachydactyly""",36
"""Intellectual disability, moderate""",36
"""Autistic behavior""",36
"""Ventricular septal defect""",35
"""Hyperreflexia""",34
"""Short neck""",34
"""Gastroesophageal reflux""",34
"""Low-set, posteriorly rotated ears""",34
"""Atrial septal defect""",33
"""Macrocephaly""",33
"""Patent ductus arteriosus""",33
"""Clinodactyly of the 5th finger""",32
"""Brachycephaly""",32
"""Feeding difficulties in infancy""",31
"""Short nose""",31
"""Short philtrum""",31
"""Macrotia""",30
"""Hypospadias""",30
"""Abnormality of the dentition""",30
"""Umbilical hernia""",30
"""Behavioral abnormality""",29
"""Pectus excavatum""",29
"""High forehead""",29
"""Kyphosis""",28
"""Mandibular prognathia""",28
"""Pes planus""",28
"""Cerebral cortical atrophy""",28
"""Attention deficit hyperactivity disorder""",27
"""Finger syndactyly""",27
"""Hydrocephalus""",27
"""Iris coloboma""",27
"""Deeply set eye""",26
"""Delayed skeletal maturation""",26
"""Dysarthria""",26
"""Camptodactyly of finger""",25
"""Microphthalmia""",25
"""Prominent nasal bridge""",25
"""Protruding ear""",25
"""Craniosynostosis""",25
"""obsolete Malformation of the heart and great vessels""",25
"""Coarse facial features""",24
"""Midface retrusion""",24
"""Growth delay""",24
"""Wide mouth""",24
"""Hypertonia""",24
"""Specific learning disability""",24
"""Infantile muscular hypotonia""",24
"""Cerebellar hypoplasia""",23
"""Astigmatism""",23
"""Agenesis of corpus callosum""",23
"""EEG abnormality""",23
"""Hepatomegaly""",23
"""Neurological speech impairment""",23
"""Aggressive behavior""",23
"""Sleep disturbance""",23
"""Abnormal heart morphology""",22
"""Proptosis""",22
