co.name,count(co)
"""Seizure""",79
"""Nystagmus""",72
"""Optic atrophy""",60
"""Intellectual disability""",57
"""Strabismus""",54
"""Global developmental delay""",51
"""Short stature""",51
"""Ataxia""",51
"""Hearing impairment""",50
"""Cataract""",47
"""Hypotonia""",46
"""Scoliosis""",44
"""Microcephaly""",42
"""Sensorineural hearing impairment""",41
"""Myopia""",36
"""Spasticity""",34
"""Abnormality of retinal pigmentation""",30
"""Ptosis""",30
"""Behavioral abnormality""",30
"""Gait disturbance""",29
"""Micrognathia""",27
"""Hypoplasia of the corpus callosum""",26
"""Developmental regression""",25
"""Photophobia""",25
"""Failure to thrive""",24
"""Depressed nasal bridge""",24
"""Corneal opacity""",24
"""Abnormal facial shape""",24
"""Hypertelorism""",23
"""Glaucoma""",22
"""Cryptorchidism""",22
"""Anteverted nares""",22
"""Cognitive impairment""",22
"""Feeding difficulties""",22
"""Ventriculomegaly""",22
"""Wide nasal bridge""",22
"""EEG abnormality""",21
"""Peripheral neuropathy""",21
"""Autistic behavior""",21
"""Cerebral cortical atrophy""",20
"""Intellectual disability, severe""",19
"""Cerebellar atrophy""",19
"""Kyphosis""",19
"""Hydrocephalus""",19
"""Hypertonia""",18
"""Dysarthria""",18
"""Attention deficit hyperactivity disorder""",18
"""Delayed speech and language development""",18
"""Tremor""",17
"""Intellectual disability, mild""",17
"""Macrocephaly""",17
"""Joint stiffness""",17
"""Intrauterine growth retardation""",17
"""Infantile muscular hypotonia""",16
"""Hyperreflexia""",16
"""Epicanthus""",16
"""Neurological speech impairment""",16
"""Cleft palate""",16
"""Muscle weakness""",15
"""Inguinal hernia""",15
"""Dysphagia""",15
"""Abnormality of visual evoked potentials""",15
"""Dystonia""",14
"""Gastroesophageal reflux""",14
"""Intellectual disability, moderate""",14
"""Blindness""",14
"""Gastrostomy tube feeding in infancy""",13
"""Renal insufficiency""",13
"""Feeding difficulties in infancy""",13
"""Depression""",13
"""Skeletal muscle atrophy""",13
"""Hepatomegaly""",13
"""Growth delay""",13
"""Pes cavus""",13
"""Arrhythmia""",13
"""Umbilical hernia""",13
"""Coarse facial features""",13
"""Microphthalmia""",13
"""Skeletal dysplasia""",13
"""Nyctalopia""",13
"""Astigmatism""",12
"""High palate""",12
"""Abnormality of the eye""",12
"""Myopathy""",12
"""Retinopathy""",12
"""Long philtrum""",12
"""Delayed skeletal maturation""",12
"""Hypertension""",12
"""Everted lower lip vermilion""",11
"""Abnormality of the metaphysis""",11
"""Abnormality of epiphysis morphology""",11
"""Hemiplegia/hemiparesis""",11
"""Respiratory insufficiency""",11
"""Anxiety""",11
"""Poor speech""",11
"""Abnormality of movement""",11
"""Conductive hearing impairment""",11
"""Upslanted palpebral fissure""",11
"""Facial palsy""",11
"""Pectus excavatum""",11
